query_id,domain,bm25_weight,dense_weight
scifact-1221,scientific,0.3596,0.6404
scifact-99,scientific,0.375817,0.624183
arguana-test-sport-tshbmlbscac-pro01a,argumentation,0.2738,0.7262
arguana-test-religion-msgfhwbamec-pro02a,argumentation,0.298917,0.701083
nfcorpus-PLAIN-2640,medical,0.37625,0.62375
arguana-test-law-hrpepthwuto-con02a,argumentation,0.297833,0.702167
nfcorpus-PLAIN-2500,medical,0.390817,0.609183
nfcorpus-PLAIN-3352,medical,0.387167,0.612833
nfcorpus-PLAIN-2991,medical,0.35055,0.64945
arguana-test-international-amehbuaisji-con02a,argumentation,0.289233,0.710767
nfcorpus-PLAIN-499,medical,0.336367,0.663633
nfcorpus-PLAIN-1700,medical,0.378583,0.621417
fiqa-6803,finance,0.39575,0.60425
scifact-1259,scientific,0.38985,0.61015
arguana-test-international-epglghbni-pro01a,argumentation,0.288867,0.711133
scifact-1226,scientific,0.372833,0.627167
nfcorpus-PLAIN-2900,medical,0.392433,0.607567
fiqa-4465,finance,0.399267,0.600733
arguana-test-international-iiahwagit-pro05a,argumentation,0.277433,0.722567
nfcorpus-PLAIN-3372,medical,0.374567,0.625433
arguana-test-international-gpsmhbsosb-pro03a,argumentation,0.287767,0.712233
fiqa-6562,finance,0.392733,0.607267
nfcorpus-PLAIN-1621,medical,0.408917,0.591083
arguana-test-society-asfhwapg-pro01a,argumentation,0.272567,0.727433
arguana-test-international-emephsate-con01a,argumentation,0.341383,0.658617
scifact-113,scientific,0.367117,0.632883
nfcorpus-PLAIN-358,medical,0.381567,0.618433
scifact-692,scientific,0.3721,0.6279
scifact-721,scientific,0.344533,0.655467
arguana-test-international-ssiarcmhb-pro04a,argumentation,0.386583,0.613417
fiqa-7823,finance,0.389083,0.610917
scifact-1279,scientific,0.372833,0.627167
fiqa-8296,finance,0.37085,0.62915
scifact-75,scientific,0.37715,0.62285
nfcorpus-PLAIN-3462,medical,0.3721,0.6279
fiqa-1230,finance,0.38905,0.61095
fiqa-6219,finance,0.399417,0.600583
scifact-141,scientific,0.330767,0.669233
fiqa-7141,finance,0.394633,0.605367
scifact-971,scientific,0.372117,0.627883
arguana-test-society-epiasghbf-con04a,argumentation,0.283267,0.716733
fiqa-858,finance,0.376083,0.623917
arguana-test-free-speech-debate-nshbcsbawc-pro04a,argumentation,0.305883,0.694117
scifact-230,scientific,0.377467,0.622533
scifact-1137,scientific,0.379733,0.620267
nfcorpus-PLAIN-1827,medical,0.284283,0.715717
arguana-test-society-epsihbdns-pro04a,argumentation,0.278833,0.721167
scifact-623,scientific,0.383733,0.616267
nfcorpus-PLAIN-207,medical,0.380567,0.619433
nfcorpus-PLAIN-1008,medical,0.405233,0.594767
arguana-test-law-cplgpshwdp-con04a,argumentation,0.293517,0.706483
nfcorpus-PLAIN-583,medical,0.405233,0.594767
fiqa-5085,finance,0.391017,0.608983
nfcorpus-PLAIN-2311,medical,0.276733,0.723267
nfcorpus-PLAIN-2250,medical,0.35515,0.64485
arguana-test-economy-egiahbwaka-con02a,argumentation,0.318817,0.681183
fiqa-3767,finance,0.4045,0.5955
nfcorpus-PLAIN-3151,medical,0.4239,0.5761
arguana-test-international-epdlhfcefp-con03a,argumentation,0.319733,0.680267
scifact-811,scientific,0.357467,0.642533
arguana-test-society-cpisydfphwj-pro01a,argumentation,0.304117,0.695883
fiqa-6146,finance,0.404233,0.595767
nfcorpus-PLAIN-457,medical,0.399917,0.600083
scifact-540,scientific,0.380717,0.619283
scifact-1382,scientific,0.381,0.619
nfcorpus-PLAIN-2386,medical,0.347083,0.652917
scifact-743,scientific,0.34405,0.65595
nfcorpus-PLAIN-2590,medical,0.40605,0.59395
arguana-test-international-gmehwasr-pro02a,argumentation,0.330833,0.669167
scifact-589,scientific,0.325917,0.674083
scifact-911,scientific,0.354133,0.645867
nfcorpus-PLAIN-2560,medical,0.403517,0.596483
scifact-380,scientific,0.388717,0.611283
nfcorpus-PLAIN-2440,medical,0.386517,0.613483
scifact-1175,scientific,0.370433,0.629567
nfcorpus-PLAIN-623,medical,0.381417,0.618583
scifact-13,scientific,0.3936,0.6064
arguana-test-religion-frghbbgi-con03a,argumentation,0.274333,0.725667
nfcorpus-PLAIN-902,medical,0.3075,0.6925
fiqa-9296,finance,0.389267,0.610733
nfcorpus-PLAIN-2730,medical,0.38175,0.61825
fiqa-8271,finance,0.376133,0.623867
fiqa-604,finance,0.38695,0.61305
nfcorpus-PLAIN-721,medical,0.317233,0.682767
scifact-914,scientific,0.395317,0.604683
scifact-261,scientific,0.387167,0.612833
nfcorpus-PLAIN-3161,medical,0.356817,0.643183
scifact-324,scientific,0.378183,0.621817
nfcorpus-PLAIN-2134,medical,0.407117,0.592883
fiqa-2010,finance,0.38425,0.61575
fiqa-5505,finance,0.385233,0.614767
nfcorpus-PLAIN-175,medical,0.40385,0.59615
fiqa-5185,finance,0.371067,0.628933
nfcorpus-PLAIN-383,medical,0.388683,0.611317
arguana-test-philosophy-pphbclsbs-pro04a,argumentation,0.283567,0.716433
fiqa-4827,finance,0.360083,0.639917
scifact-1273,scientific,0.2984,0.7016
nfcorpus-PLAIN-1731,medical,0.293083,0.706917
fiqa-8,finance,0.354367,0.645633
nfcorpus-PLAIN-2092,medical,0.304567,0.695433
fiqa-2747,finance,0.366367,0.633633
scifact-880,scientific,0.3809,0.6191
fiqa-4500,finance,0.387617,0.612383
nfcorpus-PLAIN-3452,medical,0.358833,0.641167
arguana-test-politics-oglilpdwhsn-con03a,argumentation,0.349033,0.650967
arguana-test-philosophy-elhbrd-con02a,argumentation,0.307283,0.692717
arguana-test-economy-egppphbcb-pro01a,argumentation,0.283667,0.716333
arguana-test-politics-cdmaggpdgdf-pro01a,argumentation,0.3132,0.6868
arguana-test-religion-cmrsgfhbr-pro02a,argumentation,0.3123,0.6877
arguana-test-sport-ybfgsohbhog-pro04a,argumentation,0.310817,0.689183
arguana-test-education-pshhghwpba0-pro01a,argumentation,0.345483,0.654517
fiqa-3829,finance,0.38635,0.61365
arguana-test-international-aghwrem-con04a,argumentation,0.3192,0.6808
scifact-386,scientific,0.347233,0.652767
nfcorpus-PLAIN-892,medical,0.3936,0.6064
fiqa-9644,finance,0.391567,0.608433
scifact-399,scientific,0.289983,0.710017
arguana-test-politics-mtpghwaacb-pro03a,argumentation,0.359433,0.640567
arguana-test-education-udfakusma-con01a,argumentation,0.30475,0.69525
arguana-test-philosophy-ippelhbcp-pro03a,argumentation,0.276983,0.723017
scifact-975,scientific,0.376217,0.623783
arguana-test-politics-ghbgussbsbt-con03a,argumentation,0.2754,0.7246
nfcorpus-PLAIN-1611,medical,0.408067,0.591933
nfcorpus-PLAIN-12,medical,0.398917,0.601083
fiqa-8779,finance,0.378333,0.621667
arguana-test-international-eghrhbeusli-con05a,argumentation,0.2921,0.7079
nfcorpus-PLAIN-291,medical,0.41665,0.58335
arguana-test-culture-ascidfakhba-con02a,argumentation,0.371667,0.628333
nfcorpus-PLAIN-2800,medical,0.394467,0.605533
scifact-1280,scientific,0.349467,0.650533
scifact-834,scientific,0.399633,0.600367
nfcorpus-PLAIN-520,medical,0.405233,0.594767
arguana-test-education-udfakusma-con02a,argumentation,0.305183,0.694817
arguana-test-health-dhghwapgd-pro04a,argumentation,0.335633,0.664367
scifact-770,scientific,0.362833,0.637167
fiqa-1826,finance,0.3633,0.6367
scifact-577,scientific,0.374783,0.625217
arguana-test-international-gmehwasr-con01a,argumentation,0.28015,0.71985
scifact-49,scientific,0.344983,0.655017
nfcorpus-PLAIN-1249,medical,0.40805,0.59195
fiqa-3909,finance,0.393967,0.606033
fiqa-11088,finance,0.3916,0.6084
arguana-test-culture-tlhrilsfhwr-pro03a,argumentation,0.29815,0.70185
nfcorpus-PLAIN-2197,medical,0.295517,0.704483
arguana-test-international-ipecfiepg-pro03a,argumentation,0.34815,0.65185
scifact-1281,scientific,0.395167,0.604833
fiqa-4125,finance,0.4241,0.5759
nfcorpus-PLAIN-2780,medical,0.3652,0.6348
fiqa-6612,finance,0.38235,0.61765
nfcorpus-PLAIN-3221,medical,0.359633,0.640367
scifact-532,scientific,0.3782,0.6218
fiqa-504,finance,0.382167,0.617833
nfcorpus-PLAIN-1214,medical,0.405233,0.594767
fiqa-2264,finance,0.390317,0.609683
fiqa-622,finance,0.3872,0.6128
arguana-test-economy-bepahbtsnrt-con03a,argumentation,0.270167,0.729833
arguana-test-culture-thbcsbptwhht-con01a,argumentation,0.289,0.711
arguana-test-international-eiahwpamu-pro01a,argumentation,0.31025,0.68975
arguana-test-health-dhghhbampt-pro01a,argumentation,0.283817,0.716183
arguana-test-law-lgplhbssbco-con02a,argumentation,0.351,0.649
scifact-1270,scientific,0.370683,0.629317
arguana-test-digital-freedoms-eifdfaihs-pro02a,argumentation,0.281933,0.718067
scifact-637,scientific,0.368417,0.631583
nfcorpus-PLAIN-2920,medical,0.391517,0.608483
scifact-5,scientific,0.414967,0.585033
nfcorpus-PLAIN-1193,medical,0.387167,0.612833
scifact-128,scientific,0.385967,0.614033
scifact-575,scientific,0.385617,0.614383
nfcorpus-PLAIN-2167,medical,0.413917,0.586083
fiqa-7269,finance,0.388633,0.611367
arguana-test-international-iighbopcc-pro02a,argumentation,0.315717,0.684283
arguana-test-law-hrilpgwhwr-con04a,argumentation,0.310867,0.689133
fiqa-2384,finance,0.38795,0.61205
scifact-674,scientific,0.373317,0.626683
arguana-test-politics-eppghwlrba-pro04a,argumentation,0.333867,0.666133
nfcorpus-PLAIN-2375,medical,0.282117,0.717883
scifact-845,scientific,0.377283,0.622717
scifact-768,scientific,0.4045,0.5955
fiqa-1736,finance,0.416317,0.583683
arguana-test-politics-gvhwhnerse-con03a,argumentation,0.305233,0.694767
nfcorpus-PLAIN-2102,medical,0.4214,0.5786
scifact-1232,scientific,0.3988,0.6012
scifact-1213,scientific,0.4018,0.5982
fiqa-1676,finance,0.387317,0.612683
arguana-test-education-ufsdfkhbwu-pro01a,argumentation,0.320133,0.679867
nfcorpus-PLAIN-270,medical,0.3683,0.6317
fiqa-475,finance,0.411083,0.588917
fiqa-6395,finance,0.375967,0.624033
arguana-test-politics-mtpghwaacb-con03a,argumentation,0.315433,0.684567
scifact-1049,scientific,0.39065,0.60935
fiqa-895,finance,0.378867,0.621133
fiqa-2118,finance,0.37865,0.62135
arguana-test-international-eghrhbeusli-pro01a,argumentation,0.309533,0.690467
fiqa-5231,finance,0.3837,0.6163
scifact-1024,scientific,0.363483,0.636517
nfcorpus-PLAIN-1877,medical,0.391283,0.608717
arguana-test-science-eassgbatj-con05a,argumentation,0.336783,0.663217
fiqa-8789,finance,0.32205,0.67795
arguana-test-digital-freedoms-efsappgdfp-pro03a,argumentation,0.293867,0.706133
arguana-test-sport-tshbmlbscac-pro02a,argumentation,0.273317,0.726683
fiqa-9737,finance,0.391167,0.608833
fiqa-4414,finance,0.40725,0.59275
arguana-test-politics-oepdlhfcefp-pro04a,argumentation,0.3089,0.6911
scifact-800,scientific,0.3765,0.6235
fiqa-3859,finance,0.386433,0.613567
scifact-443,scientific,0.342017,0.657983
fiqa-8934,finance,0.387367,0.612633
scifact-268,scientific,0.365867,0.634133
fiqa-2316,finance,0.397867,0.602133
fiqa-90,finance,0.396517,0.603483
scifact-54,scientific,0.36565,0.63435
nfcorpus-PLAIN-1299,medical,0.3737,0.6263
arguana-test-education-tuhwastua-pro04a,argumentation,0.277683,0.722317
scifact-702,scientific,0.393083,0.606917
arguana-test-philosophy-apessghwba-pro01a,argumentation,0.308683,0.691317
nfcorpus-PLAIN-2281,medical,0.408917,0.591083
scifact-236,scientific,0.395417,0.604583
fiqa-4813,finance,0.3871,0.6129
scifact-593,scientific,0.3743,0.6257
arguana-test-international-ipecfiepg-pro01a,argumentation,0.320517,0.679483
arguana-test-economy-epegiahsc-con02a,argumentation,0.2645,0.7355
arguana-test-sport-otshwbe2uuyt-con02a,argumentation,0.306417,0.693583
fiqa-2513,finance,0.379033,0.620967
fiqa-6468,finance,0.3716,0.6284
